TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
UNITEDINS,35.8,36.6,35.7,35.8,36,93,0.864,24136
UPGDCL,123.7,125.3,123.5,124.1,125.5,140,2.551,20479
USMANIAGL,36,36.4,36,36.3,36.2,5,0.014,375
UTTARABANK,24.8,24.8,24.7,24.8,24.8,211,15.261,615667
UTTARAFIN,15.3,15.5,15.3,15.5,15.2,11,0.046,2950
VAMLBDMF1,5.7,5.8,5.6,5.6,5.7,18,0.342,61017
VAMLRBBF,4.6,4.7,4.5,4.6,4.5,17,0.17,37107
VFSTDL,8.9,9.2,8.8,8.9,8.8,208,3.157,350775
WALTONHIL,470.6,473,470,470.6,470.2,319,2.821,5987
WATACHEM,116.2,117.9,112.1,116.1,113,94,0.964,8384
WMSHIPYARD,9.9,10,9.8,9.9,9.8,248,4.737,477340
YPL,13.9,14.1,13.8,13.9,13.9,93,0.923,66531
ZAHEENSPIN,8.1,8.3,7.8,8.1,8.3,768,21.659,2698314
ZAHINTEX,5.3,5.4,5.2,5.3,5.2,38,0.387,73158
ZEALBANGLA,85,85.6,84,84.4,84.4,22,0.126,1491
